fold,epochs_ran,n_train,n_test,test_srcc,test_plcc,test_krcc,test_rmse,test_nrmse,train_srcc,train_plcc,r_clip,r_attr,r_phys
1,61.0,800.0,200.0,0.5402981626776889,0.6041577562547696,0.38393889140157794,0.1819693471794263,0.182614103174809,0.9046570281464436,0.9185681354489477,0.638150155544281,0.09413138031959534,0.26771843433380127
2,91.0,800.0,200.0,0.6026397679741948,0.6041744165235912,0.43107693908395517,0.17841835251295735,0.18290544084027538,0.9325199506312212,0.9464241118660023,0.6142378449440002,0.09535424411296844,0.2904078960418701
3,54.0,800.0,200.0,0.6622008033454315,0.6973078907027734,0.48217291906976556,0.15480957498221526,0.15629745584860072,0.8609185239224425,0.8795303876578424,0.7443807721138,0.04646521434187889,0.20915403962135315
4,36.0,800.0,200.0,0.5305130585966497,0.6182909458766344,0.3770635988299629,0.16800052049421546,0.17426162770155593,0.6865804334204489,0.720123522085379,0.09161853790283203,0.019831456243991852,0.8885499835014343
5,51.0,800.0,200.0,0.5478240619039639,0.5902732841358778,0.39133603146593643,0.1746665992203932,0.18763658542196004,0.8648057422144033,0.8799830441633925,0.5958411693572998,0.04503066837787628,0.3591281473636627
6,52.0,800.0,200.0,0.6499570424688832,0.6904915638780045,0.47422784181425087,0.1682310392810636,0.1721370654422978,0.8683734855186249,0.8799721808797083,0.6191643476486206,0.05383943393826485,0.32699620723724365
7,40.0,800.0,200.0,0.6831681905931257,0.7233765548709786,0.49802689849125187,0.16623853478222522,0.16596322600849803,0.7228133225716742,0.751234260461438,0.34823235869407654,0.04309329390525818,0.6086742877960205
8,60.0,800.0,200.0,0.645396531223594,0.7094340247756659,0.47706652969096675,0.16612578781912923,0.16803983559017263,0.9038108257988449,0.9115577931067798,0.6440792679786682,0.08399926126003265,0.27192142605781555
9,61.0,800.0,200.0,0.609028514255799,0.6658425348279116,0.44054678917831575,0.16594585758330757,0.17278860702121762,0.9119042423446097,0.9208532190195341,0.6224334836006165,0.07897226512432098,0.298594206571579
10,48.0,800.0,200.0,0.5217779684502273,0.591607407244151,0.36843824705774153,0.18273768887113775,0.1919179316233091,0.8286651452769126,0.8500905391565599,0.7032075524330139,0.06698881834745407,0.22980357706546783
mean,55.4,800.0,200.0,0.5992804101489557,0.6494956379090358,0.4323894686083725,0.1707143302726071,0.17545618786726963,0.8485048699845625,0.8658337193845582,0.5621345490217209,0.06277060359716416,0.3750948205590248
std,15.10114050144705,0.0,0.0,0.06023980088228761,0.05294284389267651,0.049199109918588654,0.008670047311763787,0.010841347636763934,0.08199993892503922,0.07423207585289353,0.19535929873273575,0.02509413107114068,0.21202948644882447
