category,display_method,method_key,status,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,total_elapsed_sec
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,uid2021,True,180,0.7801063818842144,0.7929680421395374,0.5851024208566108,0.1492262870077079,0.1497435037179689,0.7929680421395373,0.1425504811938659,0.1430445596327766,0.8202557732599997,0.0786555338301426,0.0,0.3033325999276712
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,uwiqa,True,178,0.8245931613473799,0.8317849263619147,0.684002086564565,0.1084239419023224,0.1084239419023224,0.8317849263619147,0.106279038149475,0.106279038149475,0.9149618608705634,0.0160002485386836,0.0,0.3033325999276712
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,uiqd,True,1263,0.9651073650913377,0.9697752957631736,0.8440994007758036,0.062071511030182,0.062071511030182,0.9697752957631736,0.0596906616800813,0.0596906616800813,0.9363931755602564,0.0187758836400581,0.0,0.3033325999276712
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,saud2,True,480,0.6581800909390527,0.6665323296261936,0.4733856600663439,0.182324944819766,0.1825141420864316,0.6665323296261937,0.1793274118412229,0.1795134985897592,0.8296837947779474,0.0842574963622509,0.0,0.3033325999276712
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,sota,True,1440,0.8926713932551995,0.9123616343818984,0.721420146779635,0.0908736624586451,0.0944607932313184,0.9123616343818984,0.0882861234924164,0.0917711142126242,0.902557729280588,0.0445063329025889,0.0,0.3033325999276712
Ours,AquaCLIP-QA,aquaclip_qa,completed,AquaCLIP-QA,mean,True,3541,0.8241316785034367,0.8346844456545435,0.6616019430085917,0.1185840694437247,0.1194427783936446,0.8346844456545435,0.1152267432714123,0.1160597744529432,0.880770466749871,0.0484390990547448,0.0,0.3033325999276712
Traditional / NR-IQA,BRISQUE,brisque,completed,brisque,uid2021,False,180,-0.0149037521734209,-0.0152319640721757,-0.0150217256362507,26.47232288054774,26.564075667726147,0.0152319640721764,0.2339447652767626,0.2347556153240667,0.0002661540729747,0.5100282096052936,7.451895600184798,193.51948370004536
Traditional / NR-IQA,BRISQUE,brisque,completed,brisque,uwiqa,False,178,0.4274336448253555,0.4052152669653134,0.3152480204950822,31.906041009375507,31.906041009375507,0.4052152669653134,0.1750367559962101,0.1750367559962101,-0.0043253848447292,0.4681590649503448,8.817039201036096,193.51948370004536
Traditional / NR-IQA,BRISQUE,brisque,completed,brisque,uiqd,False,1263,0.7035703603386866,0.6937974084244156,0.5139022055063255,44.40604822598343,44.40604822598343,0.6937974084244155,0.1761782059241328,0.1761782059241328,-0.0085049799641426,0.7109952773977124,84.88970290508587,193.51948370004536
Traditional / NR-IQA,BRISQUE,brisque,completed,brisque,saud2,False,480,0.0604508352649388,0.1132339463316377,0.0407786847808666,26.11365117885812,26.140749124400244,0.1132339463316377,0.2390070389583996,0.239255054821119,-0.0023899696784586,0.545505120663571,22.51960929948837,193.51948370004536
Traditional / NR-IQA,BRISQUE,brisque,completed,brisque,sota,False,1440,0.1628965817715707,0.176799720750726,0.1077744902362732,31.048275613238044,32.27386971693525,0.176799720750726,0.2122581305407266,0.2206367701950844,-0.002336064901184,0.5499089321747633,69.11272910167463,193.51948370004536
Traditional / NR-IQA,BRISQUE,brisque,completed,brisque,mean,False,3541,0.2678895340054262,0.2747628756799834,0.1925363350764593,31.989267781600567,32.25815674888411,0.2808556613088538,0.2072849793392463,0.2091724804521226,-0.0034580490631079,0.5569193209583371,38.55819522149395,193.51948370004536
VLM / CLIP-IQA,CLIP-IQA (pyiqa),clipiqa,completed,clipiqa,uid2021,True,180,0.1147216477874831,0.1404337349800975,0.0793296089385474,0.2695669785203526,0.2705012947766975,0.1404337349800974,0.2316532661292753,0.2324561738651114,0.2147644212426364,0.4196756007065683,11.172326399828307,461.4006339000771
VLM / CLIP-IQA,CLIP-IQA (pyiqa),clipiqa,completed,clipiqa,uwiqa,True,178,0.4888536552793404,0.4830364331542361,0.3648011128344346,0.1959714170727711,0.1959714170727711,0.4830364331542361,0.1676423725483815,0.1676423725483815,0.5697810996366026,0.1109070247633963,18.416460400563665,461.4006339000771
VLM / CLIP-IQA,CLIP-IQA (pyiqa),clipiqa,completed,clipiqa,uiqd,True,1263,0.5487977075899294,0.6378053756225589,0.3889760738190183,0.1893813624912084,0.1893813624912084,0.6378053756225589,0.1884166016046293,0.1884166016046293,0.8926032165336341,0.0372919380547263,280.1818499023793,461.4006339000771
VLM / CLIP-IQA,CLIP-IQA (pyiqa),clipiqa,completed,clipiqa,saud2,True,480,0.1431895487467979,0.1322906634286177,0.093772296346169,0.2651407200539649,0.2654158546471251,0.1322906634286177,0.2384399596106923,0.2386873870193049,0.2306872772357027,0.3881236593907983,29.03320680162869,461.4006339000771
VLM / CLIP-IQA,CLIP-IQA (pyiqa),clipiqa,completed,clipiqa,sota,True,1440,0.1173214758754949,0.1184205036198102,0.0781806494323934,0.2707162591440101,0.2814024645589221,0.1184205036198101,0.214137931175595,0.2225907737455324,0.1486871861422891,0.428113241103136,119.38491650193464,461.4006339000771
VLM / CLIP-IQA,CLIP-IQA (pyiqa),clipiqa,completed,clipiqa,mean,True,3541,0.2825768070558092,0.3023973421610641,0.2010119482741125,0.2381553474564614,0.2405344787093448,0.302397342161064,0.2080580262137147,0.2099586617565919,0.411304640158173,0.276822292803725,91.63775200126692,461.4006339000771
VLM / CLIP-IQA,CLIP-IQA (classic run),clipiqa_classic,completed,CLIP-IQA-classic,uid2021,True,180,0.1761171164925231,0.142901971234758,0.1168577430839933,0.3626950771213594,0.3639521743686216,0.142901971234758,0.2315706196176692,0.2323732409015824,0.1464534365242264,0.4111298558112256,0.0,0.2507196000078693
VLM / CLIP-IQA,CLIP-IQA (classic run),clipiqa_classic,completed,CLIP-IQA-classic,uwiqa,True,178,0.5249280554948356,0.5135523710662625,0.3933781526089421,0.3936716356318864,0.3936716356318864,0.5135523710662625,0.1642837817643844,0.1642837817643844,0.4259653732278541,0.0624224940710714,0.0,0.2507196000078693
