category,display_name,method,dataset,higher_better,n,srcc,plcc_raw,krcc,rmse_raw,nrmse_raw,plcc_linear,rmse_linear,nrmse_linear,linear_slope,linear_intercept,elapsed_sec,timing_scope,total_elapsed_wall_sec,total_elapsed_sec
Ours,AquaCLIP-QA,AquaCLIP-QA,uid2021,True,900,0.585764261674573,0.6028681044573063,0.4130863068700982,0.2168664199642345,0.2168664199642345,0.6028681044573063,0.1904393812688926,0.1904393812688926,1.273207250705778,-0.0092615154424036,0.0023649945251236,cached_feature_model_forward_only,,
Ours,AquaCLIP-QA,AquaCLIP-QA,saud2,True,2400,0.2314323745498775,0.2476640579658343,0.1579190974434377,0.2448523162476171,0.2448523162476171,0.2476640579658343,0.2269668864135738,0.2269668864135738,0.4772123263958262,0.2857101443169544,0.0044938048631593,cached_feature_model_forward_only,,
Ours,AquaCLIP-QA,AquaCLIP-QA,sota,True,7200,0.4563532135136132,0.4800187395524465,0.3172242800033244,0.202515740490892,0.202515740490892,0.4800187395524464,0.1841304151044811,0.1841304151044811,0.653033902448172,0.2167176843467783,0.0139841038326267,cached_feature_model_forward_only,,
Ours,AquaCLIP-QA,AquaCLIP-QA,uied,True,1000,0.4949693827358015,0.5090369184035628,0.3471317622319796,0.2122653053749064,0.2122653053749064,0.5090369184035628,0.1881239708371185,0.1881239708371185,0.7015542118384379,0.2106443609639947,0.0094843970873625,cached_feature_model_forward_only,,
Ours,AquaCLIP-QA,AquaCLIP-QA,mean,True,11500,0.4421298081184663,0.4598969550947875,0.30884036163721,0.2191249455194125,0.2191249455194125,0.4598969550947874,0.1974151634060165,0.1974151634060165,0.7762519228470535,0.1759526685463309,0.007581825077068,cached_feature_model_forward_only,,
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,uid2021,True,900,0.585764261674573,0.6028680365372502,0.4130863068700982,0.2168664570164099,0.2168664570164099,0.6028680365372502,0.1904393935191302,0.1904393935191302,1.2732074007447596,-0.0092615055268142,58.78090219758447,image_to_score_end_to_end_single_image,948.0975063999648,
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,saud2,True,2400,0.2314305597069649,0.2476643127675639,0.1579173876790141,0.2448522897173153,0.2448522897173153,0.2476643127675639,0.2269668711548357,0.2269668711548357,0.4772128917947308,0.285709921198057,224.65315650403488,image_to_score_end_to_end_single_image,948.0975063999648,
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,sota,True,7200,0.4563530998304753,0.4800191949510133,0.3172244343490776,0.2025156472400859,0.2025156472400859,0.4800191949510133,0.1841303628021862,0.1841303628021862,0.6530347427484936,0.2167173037548415,547.8533343984743,image_to_score_end_to_end_single_image,948.0975063999648,
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,uied,True,1000,0.4949581249926563,0.5090369155956885,0.3471222643607213,0.2122653057297779,0.2122653057297779,0.5090369155956885,0.188123971200048,0.188123971200048,0.7015541965814975,0.2106443661562435,87.20710060140115,image_to_score_end_to_end_single_image,948.0975063999648,
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,mean,True,11500,0.4421265115511673,0.459897114962879,0.3088375983147278,0.2191249249258973,0.2191249249258973,0.459897114962879,0.1974151496690501,0.1974151496690501,0.7762523079673704,0.1759525213955819,229.6236234253737,image_to_score_end_to_end_single_image,948.0975063999648,
