category,display_name,method,n,srcc,plcc_linear,nrmse_linear,elapsed_sec
Ours,AquaCLIP-QA,AquaCLIP-QA,11500,0.4421298081184663,0.4598969550947874,0.1974151634060165,0.007581825077068
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,11500,0.4421265115511673,0.459897114962879,0.1974151496690501,229.6236234253737
VLM-IQA,LIQE,liqe,11461,0.3265184572594558,0.3344376219728528,0.2104036647662527,162.3363716502207
Deep NR-IQA,MUSIQ,musiq,11500,0.2682591831119393,0.2533329929594951,0.2167230454964411,171.89107200090064
Deep NR-IQA,TOPIQ-NR,topiq_nr,11500,0.2389116694929006,0.2384661550884391,0.2179744570627469,203.184654575074
Deep NR-IQA,HyperIQA,hyperiqa,11500,0.2307024635447386,0.2293599081860068,0.2186010017696541,253.53717552591107
Deep NR-IQA,TReS,tres,2700,0.208989599142728,0.199148487324992,0.2312783042833303,729.1660513458773
Deep NR-IQA,DBCNN,dbcnn,11500,0.1930741124079108,0.186760822112722,0.2194590100629049,220.52635274949705
VLM-IQA,CLIP-IQA,clipiqa,11500,0.1890165003877305,0.1915453770215682,0.2208016401644222,253.0248928508953
Underwater UIQA,ATUIQP,ATUIQP,11500,0.167617676956032,0.1824638787114562,0.2169750640471107,155.9654891255194
Underwater metric,UCIQE,UCIQE,11500,0.1668599849982421,0.1909183317885092,0.214541360395451,145.55109557433738
Deep NR-IQA,PaQ-2-PiQ,paq2piq,11500,0.1666733708137858,0.1426230393207671,0.2216504154440167,96.625354601594
Traditional NR-IQA,NIQE,niqe,11500,0.1317996664782148,0.1270166458505949,0.2231260087380047,163.87407984549634
Underwater metric,UIQM,UIQM,11500,0.0817124723720342,0.1502385944394842,0.2222052680542322,413.5252596486825
