method,category,display_name,pred_rows,summary_rows,failures,status,error
aquaclip_qa,Ours,AquaCLIP-QA,11500,5,0,complete,
aquaclip_qa_e2e_timing,Ours,AquaCLIP-QA-E2E,11500,5,0,complete,
atuiqp,Underwater UIQA,ATUIQP,11500,5,0,complete,
clipiqa,VLM-IQA,CLIP-IQA,11500,5,0,complete,
dbcnn,Deep NR-IQA,DBCNN,11500,5,0,complete,
hyperiqa,Deep NR-IQA,HyperIQA,11500,5,0,complete,
liqe,VLM-IQA,LIQE,11461,5,39,complete,
musiq,Deep NR-IQA,MUSIQ,11500,5,0,complete,
niqe,Traditional NR-IQA,NIQE,11500,5,0,complete,
paq2piq,Deep NR-IQA,PaQ-2-PiQ,11500,5,0,complete,
topiq_nr,Deep NR-IQA,TOPIQ-NR,11500,5,0,complete,
tres,Deep NR-IQA,TReS,2700,3,0,complete,
uciqe,Underwater metric,UCIQE,11500,5,0,complete,
uiqm,Underwater metric,UIQM,11500,5,0,complete,
