category,display_name,method,dataset,n,srcc,plcc_linear,nrmse_linear,elapsed_sec
Ours,AquaCLIP-QA,AquaCLIP-QA,saud2,2400,0.2314323745498775,0.2476640579658343,0.2269668864135738,0.0044938048631593
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,saud2,2400,0.2314305597069649,0.2476643127675639,0.2269668711548357,224.65315650403488
VLM-IQA,LIQE,liqe,saud2,2400,0.1920813902137146,0.2061106421804865,0.2292352112887215,127.49512919830148
VLM-IQA,CLIP-IQA,clipiqa,saud2,2400,0.1421919983038268,0.1437892937295094,0.2318307836264704,163.6779493994544
Deep NR-IQA,MUSIQ,musiq,saud2,2400,0.1323395483154799,0.1280702347975575,0.2323360408486141,109.10661410936144
Deep NR-IQA,TReS,tres,saud2,1800,0.1282277093020747,0.1343509404866759,0.2323278465298167,972.6684469941538
Deep NR-IQA,TOPIQ-NR,topiq_nr,saud2,2400,0.1267019685024203,0.1372753282655666,0.2320473860072562,107.78859199909482
Deep NR-IQA,HyperIQA,hyperiqa,saud2,2400,0.1225621861908609,0.1258508318691854,0.2324025898648254,209.8561303941532
Underwater UIQA,ATUIQP,ATUIQP,saud2,2400,0.1087435980979136,0.0928992950879308,0.2332521136030623,116.35080109839316
Deep NR-IQA,PaQ-2-PiQ,paq2piq,saud2,2400,0.0886507593232701,0.1060905817815411,0.2329431083591166,61.123088296735546
Deep NR-IQA,DBCNN,dbcnn,saud2,2400,0.0650372487081909,0.0762091138747588,0.2335839143929614,115.05993049801316
Traditional NR-IQA,NIQE,niqe,saud2,2400,0.0100470031758459,0.0658798078458518,0.2337562653768837,119.88506529387077
Underwater metric,UCIQE,UCIQE,saud2,2400,-0.0514643541335991,0.0012910188631462,0.2342649958793196,82.553880003048
Underwater metric,UIQM,UIQM,saud2,2400,-0.0690827551012951,0.2093837680726724,0.2290723618047323,177.27533530048083
Ours,AquaCLIP-QA,AquaCLIP-QA,sota,7200,0.4563532135136132,0.4800187395524464,0.1841304151044811,0.0139841038326267
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,sota,7200,0.4563530998304753,0.4800191949510133,0.1841303628021862,547.8533343984743
VLM-IQA,LIQE,liqe,sota,7200,0.2771243610151397,0.2746253726859332,0.2018229448211937,413.3784415028055
Deep NR-IQA,MUSIQ,musiq,sota,7200,0.2211108380906733,0.2116540788759671,0.2051378576421963,460.3377993963656
Deep NR-IQA,HyperIQA,hyperiqa,sota,7200,0.198416270170305,0.1910951449118054,0.2060250494711622,638.4023167118428
Deep NR-IQA,TOPIQ-NR,topiq_nr,sota,7200,0.1876704538799311,0.1822098050529158,0.2063793816765613,567.8388388918245
Deep NR-IQA,DBCNN,dbcnn,sota,7200,0.1299266679338001,0.1047082555597198,0.2087392739512896,620.1739565948953
VLM-IQA,CLIP-IQA,clipiqa,sota,7200,0.1263954269709328,0.1328685492884279,0.2080320784062029,685.362247106619
Underwater metric,UIQM,UIQM,sota,7200,0.1163265997604219,0.0769669001532491,0.2092704432895381,1104.0601991999429
Traditional NR-IQA,NIQE,niqe,sota,7200,0.0972187878728541,0.0838964400946966,0.2091530774923566,424.98244109190966
Deep NR-IQA,PaQ-2-PiQ,paq2piq,sota,7200,0.0676345198758906,0.0531078437413892,0.2095968551610131,260.9196233057879
Underwater metric,UCIQE,UCIQE,sota,7200,0.01606312290555,0.0076920265773955,0.2098868503865575,402.7437967993316
Underwater UIQA,ATUIQP,ATUIQP,sota,7200,-0.0012175217797997,0.0015369380222085,0.2098928119758005,410.6183755088129
Ours,AquaCLIP-QA,AquaCLIP-QA,uid2021,900,0.585764261674573,0.6028681044573063,0.1904393812688926,0.0023649945251236
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,uid2021,900,0.585764261674573,0.6028680365372502,0.1904393935191302,58.78090219758447
Underwater metric,UCIQE,UCIQE,uid2021,900,0.5034867163822312,0.5432930106733582,0.2003934432753211,24.107645595911848
VLM-IQA,LIQE,liqe,uid2021,900,0.4888858335580597,0.5026723017043052,0.2063449993217738,45.24034029897298
Underwater UIQA,ATUIQP,ATUIQP,uid2021,900,0.4562989607106086,0.4855871748121757,0.2086630007302352,47.77095959498543
Deep NR-IQA,MUSIQ,musiq,uid2021,900,0.4108989604060815,0.3888869447616939,0.219904801798329,34.48881490132767
Deep NR-IQA,DBCNN,dbcnn,uid2021,900,0.3797637108096725,0.3802780258982333,0.2207609319627731,34.92503930022936
Underwater metric,UIQM,UIQM,uid2021,900,0.3505039203959481,0.2183613383601077,0.2329332868051494,55.28018129826519
Deep NR-IQA,PaQ-2-PiQ,paq2piq,uid2021,900,0.3430249808137618,0.3154151245095194,0.226509045255267,19.072589802322867
Deep NR-IQA,TOPIQ-NR,topiq_nr,uid2021,900,0.3352722219522176,0.3327923643233275,0.2250879448343706,33.37159240525212
Deep NR-IQA,HyperIQA,hyperiqa,uid2021,900,0.316960807645475,0.3169694177912073,0.2263853940952433,74.58830699976531
Deep NR-IQA,TReS,tres,uid2021,900,0.2897514889833812,0.2639460341633081,0.2302287620368439,485.6636556976009
VLM-IQA,CLIP-IQA,clipiqa,uid2021,900,0.2361279720151085,0.2449824010364627,0.2314198605578728,54.31961579574268
Traditional NR-IQA,NIQE,niqe,uid2021,900,0.1656484582346588,0.1376616365231058,0.2364209152609577,42.92544579808596
Ours,AquaCLIP-QA,AquaCLIP-QA,uied,1000,0.4949693827358015,0.5090369184035628,0.1881239708371185,0.0094843970873625
Ours,AquaCLIP-QA-E2E,AquaCLIP-QA-E2E,uied,1000,0.4949581249926563,0.5090369155956885,0.188123971200048,87.20710060140115
VLM-IQA,LIQE,liqe,uied,961,0.3479822442509093,0.3543421713206866,0.2042115036333217,63.23157560080287
Deep NR-IQA,MUSIQ,musiq,uied,1000,0.3086873856355224,0.2847207134027619,0.2095134816966252,83.63105959654783
Deep NR-IQA,TOPIQ-NR,topiq_nr,uied,1000,0.3060020336370332,0.3015871227119464,0.2083831157327995,103.73959500412454
Deep NR-IQA,HyperIQA,hyperiqa,uied,1000,0.2848705901723135,0.2835242381718292,0.2095909736473856,91.30194799788292
Traditional NR-IQA,NIQE,niqe,uied,1000,0.2542844166295006,0.2206286989387254,0.2131737768218206,67.70336719811891
VLM-IQA,CLIP-IQA,clipiqa,uied,1000,0.2513506042610539,0.2445412640318727,0.2119238380671428,108.7397591017652
Underwater metric,UCIQE,UCIQE,uied,1000,0.1993544548387865,0.211397271040137,0.2136201520406058,72.79905989905816
Deep NR-IQA,DBCNN,dbcnn,uied,1000,0.1975688221799795,0.185847893118176,0.2147519199445957,111.94648460485038
Deep NR-IQA,PaQ-2-PiQ,paq2piq,uied,1000,0.1673832232422205,0.0958786072506189,0.21755265300067,45.38611700152974
Underwater UIQA,ATUIQP,ATUIQP,uied,1000,0.1066456707954055,0.1498321069235096,0.2160923298793447,49.12182029988613
Underwater metric,UIQM,UIQM,uied,1000,-0.0708978755669379,0.0962423711719075,0.2175449803175091,317.48532279604115
