category,display_method,status,n,srcc,plcc_linear,nrmse_linear,krcc,total_elapsed_sec,rank_srcc,rank_nrmse_linear
Ours,AquaCLIP-QA,completed,3541,0.8241316785034367,0.8346844456545435,0.1160597744529432,0.6616019430085917,0.1470794000197202,1.0,1.0
VLM / CLIP-IQA,LIQE,completed,3529,0.441921651366335,0.4645217076459876,0.1920525065160307,0.3172073503872631,252.98790629999712,2.0,2.0
General deep NR-IQA,MUSIQ,completed,3541,0.4257389218458445,0.424878106719826,0.1926990592756796,0.3136904387394164,684.2941777000669,3.0,3.0
General deep NR-IQA,TOPIQ-NR,completed,3541,0.3802166870267504,0.3880267008087644,0.1964255498481816,0.2766486214017969,567.2150090000359,4.0,4.0
General deep NR-IQA,HyperIQA,completed,3541,0.3508641615498071,0.3723545626190297,0.199363009880361,0.2506645056804855,369.746333799907,5.0,5.0
VLM / CLIP-IQA,CLIP-IQA (classic run),completed,3541,0.3343862579310123,0.3454734481664089,0.2021436325507385,0.239959915023732,0.2507196000078693,6.0,7.0
Traditional / underwater,UCIQE,completed,3541,0.3308276095000843,0.3615078329874652,0.2005469727783946,0.2463711101843657,371.9920885999454,7.0,6.0
Traditional / NR-IQA,NIQE,completed,3541,0.2862302755265434,0.2550046827808139,0.2093294727847695,0.2099273050386166,269.5858307000017,8.0,9.0
VLM / CLIP-IQA,CLIP-IQA (pyiqa),completed,3541,0.2825768070558092,0.302397342161064,0.2099586617565919,0.2010119482741125,461.4006339000771,9.0,10.0
Traditional / NR-IQA,BRISQUE,completed,3541,0.2678895340054262,0.2808556613088538,0.2091724804521226,0.1925363350764593,193.51948370004536,10.0,8.0
General deep NR-IQA,MANIQA,completed,3541,0.2429467309718639,0.2687984627870847,0.2134542779817193,0.1731479685908284,5599.815027499921,11.0,11.0
Traditional / underwater,UIQM,completed,3541,0.162947379812934,0.2236099893933479,0.2196418703736788,0.1097431110889427,839.0563501999713,12.0,12.0
