category,display_method,method_key,status,n,srcc,plcc_linear,nrmse_linear,krcc,elapsed_sec,total_elapsed_sec,rank_srcc,rank_nrmse_linear
Ours,AquaCLIP-QA,aquaclip_qa,completed,1441,0.8948502632193588,0.9007801110625442,0.0829848499147781,0.7640507436701842,19.2,19.2,1.0,1.0
Underwater-specific UIQA,QUIQ,quiq,partial_existing,645,0.7273391432479623,0.694667384302307,0.1572150226357814,0.5602870729473567,2613.372452749521,,2.0,9.0
Deep NR-IQA,MUSIQ,musiq,completed_existing,1441,0.6984428746155398,0.7169111032191258,0.1436808075812339,0.535926374185481,276.1760475996998,,3.0,2.0
Deep NR-IQA,TOPIQ-NR,topiq_nr,completed_existing,1441,0.6588659184407855,0.6788421027612754,0.1491095714988606,0.4989138809237829,202.8709372990997,,4.0,3.0
VLM / CLIP-IQA,LIQE,liqe,completed_existing,1429,0.6372575476849505,0.6927710914042203,0.1510390395245612,0.4779805280575472,60.56060850212813,,5.0,4.0
Traditional underwater metric,UCIQE,uciqe,completed,1441,0.6223230348460047,0.6164538775978754,0.1682526903896031,0.4606349843577503,109.1163806497934,,6.0,13.0
Deep NR-IQA,DBCNN,dbcnn,completed,1441,0.6204709049364803,0.655948827543823,0.1569663489792757,0.4572478281025343,153.70555370044897,448.2127235000953,7.0,8.0
Deep NR-IQA,TReS,tres,completed,1441,0.6151674217581193,0.6337880747192555,0.1514649456402831,0.4721040277632649,398.0952294971794,939.3705651999916,8.0,5.0
Traditional NR-IQA,NIQE,niqe,completed,1441,0.6014359851898876,0.5253993690248889,0.1746600295199467,0.4504166219581801,70.59013030002822,,9.0,15.0
VLM / CLIP-IQA,CLIP-IQA classic,clipiqa_classic,completed_existing,1441,0.6013417082710575,0.6431846416608099,0.1597678477180646,0.4436234848644479,0.0,,10.0,10.0
Deep NR-IQA,HyperIQA,hyperiqa,completed,1441,0.5936120352728139,0.6488635109208315,0.1560696184615381,0.4410237781991974,81.206692898937,,11.0,7.0
VLM / CLIP-IQA,QualiCLIP,qualiclip,completed,1441,0.581569221341138,0.6380774219007669,0.1557148970955906,0.4235987796749646,142.29397360177245,288.71587439998984,12.0,6.0
VLM / CLIP-IQA,QualiCLIP+,qualiclip+,completed,1441,0.581121618553887,0.6268627325280749,0.1601728118335228,0.4366847707579325,130.14494515024126,263.9864140001592,13.0,11.0
Traditional NR-IQA,BRISQUE,brisque,completed,1441,0.565502002582021,0.5495063376948645,0.1756074809601714,0.4145751130007038,46.85337105306096,,14.0,16.0
Deep NR-IQA,PaQ-2-PiQ,paq2piq,completed,1441,0.5598353811568556,0.4950487230175711,0.1845640444846446,0.4139765200691152,40.02501945040418,94.68391549994703,15.0,18.0
VLM / CLIP-IQA,CLIP-IQA+ ViT-L/14 512,clipiqa+_vitL14_512,partial,675,0.5454174581415228,0.5766166685108856,0.167106606314143,0.4006826744864084,2839.952578600438,5901.529165899963,16.0,12.0
VLM / CLIP-IQA,CLIP-IQA pyiqa,clipiqa,completed_existing,1441,0.5188256814346349,0.5604209043883975,0.1780294870765054,0.3768885933267264,149.2991551514715,,17.0,17.0
VLM / CLIP-IQA,MA-CLIP,maclip,completed_with_failures,1429,0.5177567174792301,0.5991527849470653,0.1712749678481766,0.3756455168401119,131.0272906004684,265.5641020000912,18.0,14.0
Deep NR-IQA,ARNIQA-SPAQ,arniqa-spaq,completed,1441,0.4578297259516058,0.4798520454631274,0.1850147991983076,0.3282964575838597,90.75751200004012,211.8837894999888,19.0,19.0
Deep NR-IQA,MANIQA,maniqa,completed_existing,1441,0.4340517969561694,0.4933529350105709,0.1871824711413122,0.3170644332458506,1136.7448177011684,,20.0,20.0
Traditional underwater metric,UIQM,uiqm,completed,1441,0.2564234475387253,0.3126062359779012,0.2047546060703052,0.1741691727039004,292.94551214925013,,21.0,21.0
