category,method,method_key,status,prediction_rows,note
Ours,AquaCLIP-QA,aquaclip_qa,completed,1441,
Traditional NR-IQA,BRISQUE,brisque,completed,1441,
Traditional NR-IQA,NIQE,niqe,completed,1441,
Traditional underwater metric,UCIQE,uciqe,completed,1441,
Traditional underwater metric,UIQM,uiqm,completed,1441,
Deep NR-IQA,HyperIQA,hyperiqa,completed,1441,
Deep NR-IQA,DBCNN,dbcnn,completed,1441,
Deep NR-IQA,TReS,tres,completed,1441,
Deep NR-IQA,PaQ-2-PiQ,paq2piq,completed,1441,
Deep NR-IQA,MUSIQ,musiq,completed_existing,1441,
Deep NR-IQA,MANIQA,maniqa,completed_existing,1441,
Deep NR-IQA,TOPIQ-NR,topiq_nr,completed_existing,1441,
Deep NR-IQA,ARNIQA-SPAQ,arniqa-spaq,completed,1441,
VLM / CLIP-IQA,CLIP-IQA pyiqa,clipiqa,completed_existing,1441,
VLM / CLIP-IQA,CLIP-IQA classic,clipiqa_classic,completed_existing,1441,
VLM / CLIP-IQA,CLIP-IQA+ ViT-L/14 512,clipiqa+_vitL14_512,partial,675,stopped after 675 images because some UIQD images took about 55s each; partial predictions kept
VLM / CLIP-IQA,LIQE,liqe,completed_existing,1429,12 images missing from previous completed run; valid predictions kept
VLM / CLIP-IQA,QualiCLIP,qualiclip,completed,1441,
VLM / CLIP-IQA,QualiCLIP+,qualiclip+,completed,1441,
VLM / CLIP-IQA,MA-CLIP,maclip,completed_with_failures,1429,12 UWIQA images failed locally; valid predictions kept
Underwater-specific UIQA,QUIQ,quiq,partial_existing,645,"official code/model downloaded earlier; full run not completed, partial 645 predictions kept"
VLM / MLLM-IQA,Q-Align / qalign_4bit,qalign,failed,0,model initialization/download stalled at HuggingFace fetching files in prior run
VLM / MLLM-IQA,DeQA-Score / DepictQA,deqa_score,downloaded_not_runnable,0,"source archive present, no direct local scoring runner integrated in this round"
Underwater-specific UIQA,PIGUIQA,piguiqa,code_unavailable,0,anonymous code URL returned HTTP 410; no runnable checkpoint found
Underwater-specific UIQA,PUIQA,puiqa,runner_written_not_completed,0,"official code downloaded; reproduction runner written, but feature extraction was CPU-only and reached only 35% UIQD in 1 hour"
