category,display_method,method_key,status,dataset,n,srcc,plcc_linear,nrmse_linear,krcc,elapsed_sec,total_elapsed_sec
Ours,AquaCLIP-QA,aquaclip_qa,completed,uwiqa,178,0.8245931613473799,0.8317849263619147,0.106279038149475,0.684002086564565,0.0,
Ours,AquaCLIP-QA,aquaclip_qa,completed,uiqd,1263,0.9651073650913377,0.9697752957631736,0.0596906616800813,0.8440994007758036,0.0,
Deep NR-IQA,ARNIQA-SPAQ,arniqa-spaq,completed,uwiqa,178,0.3543336564819019,0.3244159541632783,0.1811047387655884,0.2669655202669953,11.060232699848704,211.8837894999888
Deep NR-IQA,ARNIQA-SPAQ,arniqa-spaq,completed,uiqd,1263,0.5613257954213099,0.6352881367629766,0.1889248596310267,0.389627394900724,170.45479130023153,211.8837894999888
Traditional NR-IQA,BRISQUE,brisque,completed,uwiqa,178,0.4274336448253555,0.4052152669653134,0.1750367559962101,0.3152480204950822,8.817039201036089,
Traditional NR-IQA,BRISQUE,brisque,completed,uiqd,1263,0.7035703603386866,0.6937974084244155,0.1761782059241328,0.5139022055063255,84.88970290508581,
VLM / CLIP-IQA,CLIP-IQA pyiqa,clipiqa,completed_existing,uwiqa,178,0.4888536552793404,0.4830364331542361,0.1676423725483815,0.3648011128344346,18.416460400563658,
VLM / CLIP-IQA,CLIP-IQA pyiqa,clipiqa,completed_existing,uiqd,1263,0.5487977075899294,0.6378053756225589,0.1884166016046293,0.3889760738190183,280.1818499023793,
VLM / CLIP-IQA,CLIP-IQA+ ViT-L/14 512,clipiqa+_vitL14_512,partial,uwiqa,178,0.3402005785027143,0.3615865738744259,0.178505481109007,0.2531301839443271,142.1646689006593,5901.529165899963
VLM / CLIP-IQA,CLIP-IQA+ ViT-L/14 512,clipiqa+_vitL14_512,partial,uiqd,497,0.7506343377803313,0.7916467631473452,0.155707731519279,0.5482351650284896,5537.740488300216,5901.529165899963
VLM / CLIP-IQA,CLIP-IQA classic,clipiqa_classic,completed_existing,uwiqa,178,0.5249280554948356,0.5135523710662625,0.1642837817643844,0.3933781526089421,0.0,
VLM / CLIP-IQA,CLIP-IQA classic,clipiqa_classic,completed_existing,uiqd,1263,0.6777553610472795,0.7728169122553573,0.1552519136717447,0.4938688171199537,0.0,
Deep NR-IQA,DBCNN,dbcnn,completed,uwiqa,178,0.5239904504863379,0.5251085444568823,0.1629391606299045,0.3979776846285879,14.770884698722504,448.2127235000953
Deep NR-IQA,DBCNN,dbcnn,completed,uiqd,1263,0.7169513593866226,0.7867891106307638,0.1509935373286469,0.5165179715764806,292.6402227021754,448.2127235000953
Deep NR-IQA,HyperIQA,hyperiqa,completed,uwiqa,178,0.4769070360757718,0.4945208072341915,0.1664104305921402,0.3605658057968831,18.276699999580156,
Deep NR-IQA,HyperIQA,hyperiqa,completed,uiqd,1263,0.710317034469856,0.8032062146074715,0.1457288063309361,0.5214817506015117,144.13668579829385,
VLM / CLIP-IQA,LIQE,liqe,completed_existing,uwiqa,166,0.5883042157291887,0.5689199429727986,0.1608819907035573,0.4538357539105262,11.396117999334813,
VLM / CLIP-IQA,LIQE,liqe,completed_existing,uiqd,1263,0.6862108796407121,0.8166222398356421,0.141196088345565,0.5021253022045683,109.72509900492145,
VLM / CLIP-IQA,MA-CLIP,maclip,completed_with_failures,uwiqa,166,0.4620627200129792,0.4851356333128724,0.1710635777480111,0.3491070486883537,13.499273499706751,265.5641020000912
VLM / CLIP-IQA,MA-CLIP,maclip,completed_with_failures,uiqd,1263,0.573450714945481,0.7131699365812579,0.1714863579483421,0.4021839849918701,248.55530770123005,265.5641020000912
Deep NR-IQA,MANIQA,maniqa,completed_existing,uwiqa,178,0.4075737644184392,0.4086545082104649,0.1747434113143209,0.3118597748650411,275.5635342997266,
Deep NR-IQA,MANIQA,maniqa,completed_existing,uiqd,1263,0.4605298294938996,0.578051361810677,0.1996215309683035,0.3222690916266603,1997.92610110261,
Deep NR-IQA,MUSIQ,musiq,completed_existing,uwiqa,178,0.6008952471322125,0.5962829335968151,0.1536991300818495,0.4681426045506909,15.011568199726746,
Deep NR-IQA,MUSIQ,musiq,completed_existing,uiqd,1263,0.7959905020988671,0.8375392728414365,0.1336624850806183,0.6037101438202709,537.3405269996729,
Traditional NR-IQA,NIQE,niqe,completed,uwiqa,178,0.4247193450810082,0.3248345213208586,0.1810772340958332,0.3192009737301303,12.045915499678806,
Traditional NR-IQA,NIQE,niqe,completed,uiqd,1263,0.7781526252987669,0.7259642167289192,0.1682428249440601,0.58163227018623,129.13434510037763,
Deep NR-IQA,PaQ-2-PiQ,paq2piq,completed,uwiqa,178,0.4412478415595175,0.3644143094640867,0.17829456639273,0.3436245776466772,5.909034299664191,94.68391549994703
Deep NR-IQA,PaQ-2-PiQ,paq2piq,completed,uiqd,1263,0.6784229207541937,0.6256831365710553,0.1908335225765591,0.4843284624915531,74.14100460114418,94.68391549994703
VLM / CLIP-IQA,QualiCLIP,qualiclip,completed,uwiqa,178,0.4778310298540199,0.4602891464956449,0.1699722112379924,0.3566128525618351,50.46851489879191,288.71587439998984
VLM / CLIP-IQA,QualiCLIP,qualiclip,completed,uiqd,1263,0.685307412828256,0.8158656973058888,0.1414575829531889,0.4905847067880941,234.119432304753,288.71587439998984
VLM / CLIP-IQA,QualiCLIP+,qualiclip+,completed,uwiqa,178,0.4650268051177547,0.4671538192238845,0.1692842963614861,0.3588716829818625,15.34458930185064,263.9864140001592
VLM / CLIP-IQA,QualiCLIP+,qualiclip+,completed,uiqd,1263,0.6972164319900194,0.7865716458322651,0.1510613273055595,0.5144978585340025,244.94530099863184,263.9864140001592
Underwater-specific UIQA,QUIQ,quiq,partial_existing,uwiqa,178,0.6511957706222856,0.6273358936531623,0.149099196895114,0.5080956676049265,539.818209600402,
Underwater-specific UIQA,QUIQ,quiq,partial_existing,uiqd,467,0.803482515873639,0.7619988749514518,0.1653308483764489,0.6124784782897869,4686.926695898641,
Deep NR-IQA,TOPIQ-NR,topiq_nr,completed_existing,uwiqa,178,0.5316544836858942,0.5242073364833194,0.1630454989873452,0.4050365296911737,17.314624999416985,
Deep NR-IQA,TOPIQ-NR,topiq_nr,completed_existing,uiqd,1263,0.7860773531956766,0.8334768690392315,0.135173644010376,0.5927912321563921,388.4272495987825,
Deep NR-IQA,TReS,tres,completed,uwiqa,178,0.4035969996767211,0.4178774802920625,0.173942005265355,0.3080479985312447,95.53703619993756,939.3705651999916
Deep NR-IQA,TReS,tres,completed,uiqd,1263,0.8267378438395176,0.8496986691464484,0.1289878860152111,0.6361600569952851,700.6534227944212,939.3705651999916
Traditional underwater metric,UCIQE,uciqe,completed,uwiqa,178,0.5442856636509682,0.5311868127577395,0.1622153394149133,0.409413013629977,13.724590999772763,
Traditional underwater metric,UCIQE,uciqe,completed,uiqd,1263,0.7003604060410412,0.7017209424380112,0.1742900413642928,0.5118569550855236,204.50817029981403,
Traditional underwater metric,UIQM,uiqm,completed,uwiqa,178,0.2794107122155206,0.2067631516440021,0.1873226876474789,0.2032947378024713,26.898235799395472,
Traditional underwater metric,UIQM,uiqm,completed,uiqd,1263,0.2334361828619299,0.4184493203118003,0.2221865244931316,0.1450436076053295,558.9927884991048,
